,차량번호,보고시각,주소(지번),x좌표,y좌표
1,800조2173,2024-02-01 18:21,서울특별시 중구 신당동 402-2,127.011128,37.56104743
2,800조2173,2024-02-01 18:27,서울특별시 중구 신당동 322-4,127.0145539,37.55897512
3,800조2173,2024-02-01 18:36,서울특별시 중구 신당동 347-376,127.0124212,37.55550869
4,800조2173,2024-02-01 18:45,서울특별시 중구 신당동 346-446,127.0141378,37.55428386
5,800조2173,2024-02-01 18:51,서울특별시 중구 신당동 842,127.0142637,37.55473651
6,800조2173,2024-02-01 19:06,서울특별시 성동구 금호동2가 1209,127.0168902,37.55432702
7,800조2173,2024-02-01 19:09,서울특별시 중구 신당동 842-3,127.0165802,37.55359077
8,800조2173,2024-02-01 19:18,서울특별시 중구 신당동 347-430,127.0126305,37.55541568
9,800조2173,2024-02-01 19:27,서울특별시 중구 신당동 333-61,127.0136398,37.55746732
10,800조2173,2024-02-01 19:33,서울특별시 중구 신당동 333-713,127.0143421,37.55677383
11,800조2173,2024-02-01 20:18,서울특별시 중구 신당동 282-114,127.0187383,37.56075355
12,800조2173,2024-02-01 20:21,서울특별시 중구 신당동 282-113,127.0187641,37.56072733
13,800조2173,2024-02-01 20:30,서울특별시 중구 신당동 282-2,127.0186466,37.56080051
14,800조2173,2024-02-01 20:45,서울특별시 중구 신당동 304-611,127.0114243,37.56298229
15,800조2173,2024-02-01 20:48,서울특별시 중구 신당동 236-10,127.0120164,37.56267436
16,800조2173,2024-02-01 20:51,서울특별시 중구 신당동 236-57,127.012573,37.56237571
17,800조2173,2024-02-01 21:12,서울특별시 중구 의주로2가 16-68,126.9683443,37.56113525
18,800조2173,2024-02-01 21:15,서울특별시 중구 의주로2가 7-7,126.9697054,37.56184019
19,800조2173,2024-02-01 21:21,서울특별시 중구 북창동 37-1,126.9780569,37.5637107
20,800조2173,2024-02-01 21:30,서울특별시 중구 장충동2가 173-6,127.0013643,37.56267641
21,800조2173,2024-02-01 21:36,서울특별시 중구 신당동 304-648,127.0104202,37.56244413
22,800조2173,2024-02-01 21:54,서울특별시 중구 신당동 304-647,127.0104306,37.56249431
23,800조2173,2024-02-01 21:56,서울특별시 중구 신당동 304-698,127.0103925,37.56243503
24,800조2173,2024-02-01 23:12,서울특별시 중구 신당동 304-199,127.01255,37.56333302
25,800조2173,2024-02-01 23:15,서울특별시 중구 신당동 304-281,127.0118536,37.56311605
26,800조2173,2024-02-01 23:21,서울특별시 중구 신당동 304-201,127.0127099,37.56353294
27,800조2173,2024-02-01 23:24,서울특별시 중구 신당동 304-154,127.0117471,37.56367251
28,800조2173,2024-02-01 23:27,서울특별시 중구 신당동 236-397,127.0108362,37.56411607
29,800조2173,2024-02-01 23:39,서울특별시 중구 남대문로4가 16-1,126.9762387,37.56041189
30,800조2173,2024-02-01 23:51,서울특별시 중구 서소문동 1-9,126.9762014,37.56402659
