,0,1
0,127.013724821158,37.5557832594739
1,127.012560058192,37.5565914037037
2,127.0124474599,37.5559766650256
3,127.011594944704,37.5561428056702
5,127.015149128565,37.560326183695
6,127.012664859508,37.5599418407277
7,127.010359845819,37.5641253928524
16,127.01171344625,37.5561935201345
18,127.018157096066,37.5611067434782
21,127.012549984568,37.5633330243463
23,127.01270994934,37.5635329383391
25,127.010836246384,37.5641160698258
28,127.010442582208,37.5632934956081
29,127.014677103009,37.5600107141969
30,127.014462811786,37.5597986459578
34,127.012710376269,37.5567183381591
35,127.013730416602,37.5560553600884
36,127.011795656799,37.5564845341439
37,127.012417289793,37.5555802292631
39,127.011657372935,37.5558600664901
41,127.014158253322,37.5598449040166
42,127.014797198273,37.5600663808173
43,127.014892490436,37.5600378072333
44,127.018179856795,37.5611526908107
45,127.012706538019,37.5601079800852
46,127.01041036231,37.564379199065
48,127.010300281263,37.5630965502833
49,127.010407193317,37.5627536216406
50,127.010333390062,37.5635222682074
