,statsYm,roadNmCd,ctpvNm,sggNm,roadNm,totNmprCnt,hhCnt,hhNmpr,maleNmprCnt,femlNmprCnt,maleFemlRate
369,202404,111404103395,서울특별시,중구,퇴계로8길,753,495,1.52,382,371,1.03
370,202404,111404103396,서울특별시,중구,퇴계로90길,3466,1471,2.36,1662,1804,0.92
371,202404,111404103397,서울특별시,중구,필동로1길,158,122,1.3,74,84,0.88
372,202404,111404103398,서울특별시,중구,필동로3길,83,42,1.98,45,38,1.18
373,202404,111404103399,서울특별시,중구,필동로5길,135,66,2.05,58,77,0.75
374,202404,111404103400,서울특별시,중구,필동로6길,178,75,2.37,91,87,1.05
375,202404,111404103401,서울특별시,중구,필동로8가길,76,35,2.17,44,32,1.38
376,202404,111404103402,서울특별시,중구,필동로8길,490,273,1.79,239,251,0.95
377,202404,111404103405,서울특별시,중구,후암로58길,19,19,1.0,18,1,18.0
378,202404,111404103406,서울특별시,중구,후암로60길,227,223,1.02,191,36,5.31
379,202404,,서울특별시,중구,,5,2,2.5,2,3,0.67
