,차량번호,보고시각,주소(지번),x좌표,y좌표
1,800조2173,2024-02-01 00:02:02,서울특별시 중구 신당동 345-23,127.013724821158,37.5557832594739
2,800조2173,2024-02-01 00:08:02,서울특별시 중구 신당동 340-101,127.012560058192,37.5565914037037
3,800조2173,2024-02-01 00:14:02,서울특별시 중구 신당동 340-127,127.0124474599,37.5559766650256
4,800조2173,2024-02-01 00:29:02,서울특별시 중구 신당동 370-67,127.011594944704,37.5561428056702
5,800조2173,2024-02-01 00:32:02,서울특별시 중구 신당동 333-165,127.013178922385,37.558648763599
6,800조2173,2024-02-01 00:41:02,서울특별시 중구 신당동 287-62,127.015149128565,37.560326183695
7,800조2173,2024-02-01 00:50:03,서울특별시 중구 신당동 308-54,127.012664859508,37.5599418407277
8,800조2173,2024-02-01 00:53:02,서울특별시 중구 신당동 236-291,127.010359845819,37.5641253928524
9,800조2173,2024-02-01 00:56:03,서울특별시 중구 쌍림동 102,127.00292074256,37.5632366179215
10,800조2173,2024-02-01 00:59:02,서울특별시 중구 필동2가 10-6,126.99375528428,37.5613048422884
11,800조2173,2024-02-01 01:02:03,서울특별시 중구 충무로1가 13-2,126.98141425847,37.5616652046495
12,800조2173,2024-02-01 01:08:03,서울특별시 중구 의주로2가 16-6,126.96850239861,37.5615951616024
13,800조2173,2024-02-01 01:23:03,서울특별시 중구 서소문동 60-1,126.973584384643,37.5626370590737
14,800조2173,2024-02-01 01:26:03,서울특별시 중구 회현동3가 11-1,126.983686852763,37.5606379537174
15,800조2173,2024-02-01 01:29:03,서울특별시 중구 충무로5가 66-1,126.998330655625,37.5621938288595
16,800조2173,2024-02-01 01:35:03,서울특별시 중구 신당동 312-10,127.016254132485,37.5593780077383
17,800조2173,2024-02-01 01:41:03,서울특별시 중구 신당동 370-116,127.01171344625,37.5561935201345
18,800조2173,2024-02-01 01:44:03,서울특별시 중구 신당동 336-2,127.01283648839,37.5589008102225
19,800조2173,2024-02-01 01:50:03,서울특별시 중구 신당동 44-40,127.018157096066,37.5611067434782
20,800조2173,2024-02-01 01:59:13,서울특별시 중구 무학동 76,127.015393326091,37.5639509515843
21,800조2173,2024-02-01 01:59:43,서울특별시 중구 무학동 43,127.015364969522,37.5647609509284
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
