,차량번호,보고시각,주소(지번),x좌표,y좌표
8,800조2173,2024-02-02 0:03,서울특별시 중구 신당동 294-124,127.0146771,37.56001071
17,800조2173,2024-02-02 0:51,서울특별시 중구 신당동 347,127.013162,37.55530165
26,800조2173,2024-02-02 2:57,서울특별시 중구 순화동 207-5,126.971727,37.5597028
3,800조2173,2024-02-02 7:02,서울특별시 중구 황학동 2072,127.0197399,37.56943305
6,800조2173,2024-02-02 7:35,서울특별시 중구 흥인동 100-3,127.0165708,37.56554483
7,800조2173,2024-02-02 7:44,서울특별시 중구 흥인동 127,127.0152602,37.56542977
15,800조2173,2024-02-02 8:44,서울특별시 중구 순화동 122-2,126.9709373,37.56032745
17,800조2173,2024-02-02 9:05,서울특별시 중구 신당동 372-2801,127.0108169,37.55172204
20,800조2173,2024-02-02 9:14,서울특별시 중구 신당동 373-1,127.0122015,37.55304133
21,800조2173,2024-02-02 9:17,서울특별시 중구 신당동 310-2,127.0136424,37.55982433
25,800조2173,2024-02-02 9:53,서울특별시 중구 황학동 2525,127.0217675,37.5666788
27,800조2173,2024-02-02 9:59,서울특별시 중구 황학동 2025,127.0202474,37.57029368
30,800조2173,2024-02-02 10:08,서울특별시 중구 신당동 150-6,127.0220354,37.56500884
32,800조2173,2024-02-02 10:20,서울특별시 중구 신당동 52-167,127.0183727,37.5633974
35,800조2173,2024-02-02 10:38,서울특별시 중구 신당동 291-1,127.0165156,37.56247956
38,800조2173,2024-02-02 10:47,서울특별시 중구 신당동 300-21,127.0144806,37.56223611
39,800조2173,2024-02-02 10:50,서울특별시 중구 신당동 304-787,127.0149865,37.56297117
0,800조2173,2024-02-02 18:24,서울특별시 중구 신당동 307-30,127.0124206,37.56080691
1,800조2173,2024-02-02 18:36,서울특별시 중구 신당동 348-6,127.0121175,37.55505183
10,800조2173,2024-02-02 19:36,서울특별시 중구 신당동 333-693,127.0131465,37.55752234
16,800조2173,2024-02-02 20:06,서울특별시 중구 필동2가 13-9,126.994382,37.56137398
21,800조2173,2024-02-02 20:48,서울특별시 중구 신당동 393-82,127.0095913,37.5619946
22,800조2173,2024-02-02 20:54,서울특별시 중구 신당동 304-205,127.0111486,37.56246478
24,800조2173,2024-02-02 21:03,서울특별시 중구 신당동 304-362,127.0136478,37.56181427
26,800조2173,2024-02-02 21:12,서울특별시 중구 신당동 304-341,127.0129737,37.56306025
28,800조2173,2024-02-02 21:24,서울특별시 중구 신당동 304-213,127.0115717,37.56242222
38,800조2173,2024-02-02 22:51,서울특별시 중구 신당동 333-74,127.0132515,37.55801662
41,800조2173,2024-02-02 23:00,서울특별시 중구 신당동 333-118,127.0145142,37.55743595
3,800조2173,2024-02-03 6:48,서울특별시 중구 황학동 1416-3,127.0220266,37.56822008
10,800조2173,2024-02-03 7:33,서울특별시 중구 흥인동 118,127.0155095,37.56600034
11,800조2173,2024-02-03 7:36,서울특별시 중구 신당동 250-31,127.0135973,37.56526789
17,800조2173,2024-02-03 9:54,서울특별시 중구 신당동 67-49,127.020732,37.56261702
18,800조2173,2024-02-03 10:06,서울특별시 중구 무학동 74-1,127.0148001,37.56500564
