,노드_x,행정동명,통,총인구수,쓰레기양
115,111,황학동,13,183,125.33409060537217
127,112,황학동,19,318,217.79366564212214
10,113,약수동,7,507,173.61853534678605
147,114,약수동,6,156,71.22811706534812
157,115,동화동,4,471,322.58118401710544
158,116,동화동,4,471,322.58118401710544
159,117,약수동,12,319,436.9571027662702
160,118,동화동,9,350,479.4200187090739
161,119,약수동,17,778,1065.68221301617
162,120,약수동,11,283,387.6453294133369
11,121,약수동,7,507,173.61853534678605
163,122,신당5동,9,471,322.58118401710544
164,123,신당5동,9,471,322.58118401710544
148,124,약수동,6,156,71.22811706534812
165,125,동화동,3,412,564.3458505946812
166,126,약수동,8,309,423.259387946011
155,127,신당5동,4,631,432.16290257917944
112,128,신당5동,15,471,215.05412267807029
113,129,신당5동,15,471,215.05412267807029
167,130,신당5동,17,203,92.6878702837543
100,131,황학동,3,154,52.73620205799813
151,132,신당5동,3,469,160.60570626753977
101,133,황학동,3,154,52.73620205799813
168,134,신당5동,17,203,92.6878702837543
169,135,신당5동,17,203,92.6878702837543
152,136,신당5동,3,469,160.60570626753977
153,137,신당5동,3,469,160.60570626753977
123,138,신당5동,5,615,280.8031538153147
170,139,황학동,6,290,397.2337297875183
21,140,신당동,2,569,35.427271512397795
22,141,신당동,2,569,35.427271512397795
23,142,신당동,2,569,35.427271512397795
24,143,신당동,2,569,35.427271512397795
25,144,신당동,2,569,35.427271512397795
26,145,신당동,2,569,35.427271512397795
27,146,신당동,2,569,35.427271512397795
28,147,신당동,2,569,35.427271512397795
29,148,신당동,2,569,35.427271512397795
171,149,청구동,19,899,1231.424562341307
77,150,신당동,3,360,61.63971669116665
78,151,신당동,3,360,61.63971669116665
68,152,신당동,4,265,60.498240456145034
30,153,신당동,2,569,35.427271512397795
31,154,신당동,2,569,35.427271512397795
32,155,신당동,2,569,35.427271512397795
33,156,신당동,2,569,35.427271512397795
34,157,신당동,2,569,35.427271512397795
35,158,신당동,2,569,35.427271512397795
69,159,신당동,4,265,60.498240456145034
79,160,신당동,3,360,61.63971669116665
119,161,청구동,6,344,94.24027796338366
36,162,신당동,2,569,35.427271512397795
70,163,신당동,4,265,60.498240456145034
80,164,신당동,3,360,61.63971669116665
52,165,청구동,1,266,182.17960710944806
71,166,신당동,4,265,60.498240456145034
109,167,청구동,4,399,136.63470533208607
110,168,청구동,4,399,136.63470533208607
46,169,신당동,13,605,414.35587331284245
120,170,청구동,6,344,94.24027796338366
72,171,신당동,4,265,60.498240456145034
