,행정동명,통,노드_x,노드_y,총인구수,세대수,비율,쓰레기양
139,황학동,8,85,1,762,572,0.02545770412935988,1043.7658693037552
140,황학동,15,86,2,643,449,0.021482025925430977,440.381531471335
141,황학동,15,87,2,643,449,0.021482025925430977,440.381531471335
84,황학동,14,88,3,431,266,0.014399305091540826,196.79050291772464
132,황학동,4,89,2,377,212,0.012595215822531071,258.20192436188694
142,황학동,9,90,1,555,453,0.01854202859815582,760.2231725243886
63,신당동,19,91,7,699,622,0.02335293331551517,136.78146656230314
130,황학동,7,92,3,728,409,0.02432179607109448,332.3978796382913
135,황학동,17,93,3,247,150,0.00825203795269277,112.77785202013452
143,황학동,16,94,2,553,330,0.018475210477081384,378.74181478016834
85,황학동,14,95,3,431,266,0.014399305091540826,196.79050291772464
99,황학동,3,96,4,154,128,0.005144995322731525,52.73620205799813
136,황학동,17,97,3,247,150,0.00825203795269277,112.77785202013452
145,황학동,20,98,1,738,319,0.02465588667646666,1010.8913537351331
14,신당동,1,99,3,332,195,0.011091808098356274,151.58804401086908
146,약수동,6,100,3,156,87,0.00521181344380596,71.22811706534812
149,청구동,7,101,1,694,377,0.02318588801282908,950.6214085259923
150,신당5동,3,102,4,469,301,0.0156688493919551,160.60570626753977
144,황학동,16,103,2,553,330,0.018475210477081384,378.74181478016834
154,신당5동,4,104,2,631,341,0.021081117198984364,432.16290257917944
122,신당5동,5,105,3,615,271,0.02054657223038888,280.8031538153147
103,황학동,1,106,2,884,428,0.02953360951490044,605.438995055459
156,신당동,7,107,1,154,116,0.005144995322731525,210.9448082319925
18,신당동,2,108,22,569,449,0.019009755445676867,35.427271512397795
19,신당동,2,109,22,569,449,0.019009755445676867,35.427271512397795
20,신당동,2,110,22,569,449,0.019009755445676867,35.427271512397795
115,황학동,13,111,2,183,157,0.006113858078310838,125.33409060537217
127,황학동,19,112,2,318,231,0.010624081250835226,217.79366564212214
10,약수동,7,113,4,507,376,0.01693839369236937,173.61853534678605
147,약수동,6,114,3,156,87,0.00521181344380596,71.22811706534812
157,동화동,4,115,2,471,205,0.015735667513029534,322.58118401710544
158,동화동,4,116,2,471,205,0.015735667513029534,322.58118401710544
159,약수동,12,117,1,319,126,0.010657490311372444,436.9571027662702
160,동화동,9,118,1,350,161,0.011693171188026192,479.4200187090739
161,약수동,17,119,1,778,276,0.025992249097955365,1065.68221301617
162,약수동,11,120,1,283,229,0.009454764132032608,387.6453294133369
11,약수동,7,121,4,507,376,0.01693839369236937,173.61853534678605
163,신당5동,9,122,2,471,175,0.015735667513029534,322.58118401710544
