,Unnamed: 0,x,y
0,0,127.0137248,37.55578326
124,124,127.0106955,37.55354829
113,113,127.0108146,37.55342691
114,114,127.0116478,37.55322744
121,121,127.0104076,37.55288779
6,6,127.0107168,37.55281785
17,17,127.0116574,37.55586007
30,30,127.0135057,37.55564768
10,10,127.0124212,37.55550869
11,11,127.0126305,37.55541568
22,22,127.0138343,37.55597948
171,171,126.9683443,37.56113525
101,101,127.0139294,37.55610102
16,16,127.0137304,37.55605536
69,69,127.0153189,37.55624365
161,161,127.0156977,37.55665554
66,66,127.0156622,37.55614116
72,72,127.0162627,37.55809553
55,55,127.0162022,37.5579794
43,43,127.0156618,37.55900679
48,48,127.0154815,37.55879859
165,165,127.0148677,37.55771792
29,29,127.0145142,37.55743595
40,40,127.0127287,37.55584905
34,34,127.011734,37.55487707
0,0,127.0137248,37.55578326
109,109,127.0130129,37.56521678
67,67,127.0172722,37.56563619
63,63,127.017722,37.56568892
91,91,127.0174258,37.56593971
32,32,127.0148001,37.56500564
135,135,127.019319,37.56549414
61,61,127.0188222,37.56546188
130,130,127.0197616,37.56549064
134,134,127.0196491,37.56419035
137,137,127.0208594,37.56382019
132,132,127.0208412,37.5643771
102,102,127.0218204,37.56403463
127,127,127.0237907,37.56338337
104,104,127.0218115,37.5633351
138,138,127.0210259,37.56265598
68,68,127.0206304,37.56268849
122,122,127.0225476,37.56200365
105,105,127.0213491,37.56199829
118,118,127.0188032,37.56062046
12,12,127.0187383,37.56075355
50,50,127.0183679,37.56100823
49,49,127.0182883,37.5610687
39,39,127.0181276,37.5612692
116,116,127.0183274,37.56245515
125,125,127.0169476,37.56324778
9,9,127.0163867,37.5647555
0,0,127.0137248,37.55578326
