,Unnamed: 0,x,y
0,0,127.0137248,37.55578326
53,53,127.0167892,37.56558256
45,45,127.01816,37.56572552
96,96,127.0186414,37.56623361
131,131,127.0182993,37.56582371
106,106,127.0226189,37.5654786
46,46,127.0233744,37.56535276
5,5,127.0234953,37.56582846
84,84,127.0228416,37.56628765
85,85,127.0225621,37.5673352
95,95,127.0229623,37.56805502
31,31,127.022267,37.56825896
62,62,127.0212321,37.56827834
111,111,127.0210319,37.56829685
23,23,127.0209831,37.56814351
82,82,127.0191319,37.56849115
81,81,127.0187184,37.56848122
76,76,127.017935,37.56835863
162,162,127.0158895,37.56654395
108,108,127.0155762,37.56610692
0,0,127.0137248,37.55578326
54,54,127.0044335,37.563796
70,70,127.012007,37.56473188
57,57,127.0113888,37.56465517
33,33,127.0112281,37.56474141
27,27,127.0121427,37.56349083
19,19,127.0127065,37.56010798
44,44,127.0134964,37.56022727
15,15,127.0144628,37.55979865
28,28,127.0151327,37.55954052
168,168,127.0163626,37.55873621
133,133,127.0204947,37.55433077
129,129,127.0202926,37.55453822
65,65,127.017296,37.55576531
149,149,127.0187575,37.55910418
2,2,127.0162541,37.55937801
167,167,127.0155174,37.55862145
58,58,127.0157006,37.55947476
18,18,127.0148925,37.56003781
1,1,127.0151491,37.56032618
152,152,127.013865,37.56087604
42,42,127.012785,37.56071578
0,0,127.0137248,37.55578326
